Time,vx,vy,vz,x,y,z,Bx,By,Bz
1537343850.0,-437.3075866699219,-26.19627094268799,-32.36016273498535,1443652.4921654998,-215308.780558,26911.8914185,3.375259041786194,-0.9371014535427094,-1.0638357400894165
1537343910.0,-437.25146026611327,-26.652731323242186,-31.223614247639972,1443650.10784,-215305.5507915,26916.10218,3.441564917564392,-0.9028423130512238,-1.0811365842819214
1537343970.0,-436.9585646332287,-26.646028987696912,-29.821167711351737,1443647.7235805,-215302.3209685,26920.312923,3.3600000143051147,-0.8712790906429291,-1.1027386784553528
1537344030.0,-436.59364443919696,-25.88315269595287,-30.424249774119893,1443645.3393865,-215299.0910895,26924.5236475,3.5450387001037598,-0.5453525185585022,-0.9679245054721832
1537344090.0,-436.6565444946289,-25.244993940989175,-31.61425765355428,1443642.955259,-215295.861154,26928.7343535,3.5469695329666138,-0.2544779032468796,-0.9173180758953094
1537344150.0,-436.97802734375,-24.40691566467285,-32.15356636047363,1443640.571198,-215292.6311615,26932.945041500003,3.580472707748413,-0.10606353729963303,-1.01627117395401
1537344210.0,-436.9086253682121,-24.328533641627576,-31.536379173153737,1443638.1872025,-215289.4011125,26937.155711,3.5122318267822266,-0.00939555885270238,-0.9154680073261261
1537344270.0,-436.933599753458,-24.091703790133117,-30.900309984801247,1443635.8032735,-215286.1710075,26941.366362,3.4937392473220825,0.05384095758199692,-0.9807547330856323
1537344330.0,-437.5751205444336,-24.308905188242594,-31.404085063934325,1443633.4194109999,-215282.94084599998,26945.5769945,3.6012556552886963,0.023407962638884783,-0.8434574007987976
1537344390.0,-437.5434875488281,-25.459954261779785,-31.92481231689453,1443631.0356140002,-215279.710628,26949.7876085,3.615890383720398,0.04034763015806675,-0.9682340621948242
1537344450.0,-437.2443107229764,-24.867038132714445,-31.55699445380539,1443628.6518835002,-215276.4803535,26953.9982045,3.5769470930099487,0.016018359921872616,-1.0817498564720154
1537344510.0,-436.8631811923668,-25.76073446430144,-31.842458881315636,1443626.2682194998,-215273.2500225,26958.208782,3.5863094329833984,0.1955791637301445,-0.8913103342056274
1537344570.0,-436.8733210245768,-27.75680300394694,-32.13421789805094,1443623.8846215,-215270.019635,26962.419341,3.604430079460144,0.20015894621610641,-0.8823897838592529
1537344630.0,-437.4697570800781,-28.4300594329834,-31.500271797180176,1443621.50109,-215266.789191,26966.629881499997,3.5811872482299805,0.00935102254152298,-0.9185855388641357
